title,console,alcohol_reference,animated_blood,blood,blood_and_gore,cartoon_violence,crude_humor,drug_reference,fantasy_violence,intense_violence,language,lyrics,mature_humor,mild_blood,mild_cartoon_violence,mild_fantasy_violence,mild_language,mild_lyrics,mild_suggestive_themes,mild_violence,no_descriptors,nudity,partial_nudity,sexual_content,sexual_themes,simulated_gambling,strong_janguage,strong_sexual_content,suggestive_themes,use_of_alcohol,use_of_drugs_and_alcohol,violence,esrb_rating,Unnamed: 34,Unnamed: 35,Unnamed: 36,index,release_date,publishers,developers,rating,metascritic_score,users_score,genres
Monster Jam Steel Titans 2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,E,,,,1531,2021/03/02,THQ Nordic,"Rainbow Studios, Feld Entertainment,Rainbow Studios, THQ Nordic, Feld Entertainment",E,61.0,5.5,"Racing, Arcade, AutomobileRacing, Arcade, AutomobileSimulation, Vehicle, Civilian, Racing, Arcade, Automobile"
Subnautica: Below Zero,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,ET,,,,2336,2021/05/14,Unknown Worlds Entertainment,Unknown Worlds Entertainment,E10+,82.0,6.6,"Adventure, General, Action Adventure, SandboxAction Adventure, Adventure, General, SandboxAdventure, General, Action Adventure, SandboxAction Adventure, Adventure, General, Sandbox"
NIER REPLICANT VER.1.22474487139…,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,M,,,,1608,2021/04/23,Square Enix,Toylogic Inc.,M,83.0,8.4,"Role-Playing, Action RPGRole-Playing, Action RPG"
Neptunia Virtual Stars,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,T,,,,1632,2021/03/29,Idea Factory,Idea Factory,T,0.0,0.0,"Adventure, Visual Novel"
Monster Energy Supercross - The Official Videogame 4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,E,,,,1527,2021/03/11,Koch Media,Milestone S.r.l,E,69.0,0.0,"Racing, Arcade, AutomobileRacing, Arcade, Automobile"
Monochrome Order,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,T,,,,1516,2019/10/08,Kemco,Kemco,T,0.0,0.0,"Role-Playing, Japanese-Style"
Blightbound,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,T,,,,361,2021/07/27,Devolver Digital,Ronimo Games,T,66.0,0.0,"Role-Playing, Action RPGRole-Playing, Action RPGRole-Playing, Action RPG"
Maquette,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ET,,,,1442,TBA,Annapurna Interactive,Graceful Decay,E10+,0.0,0.0,"Puzzle, General"
NBA LIVE 20,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,E,,,,1596,Canceled,Electronic Arts,Electronic Arts,E,0.0,0.0,"Sports, Team, Basketball, Sim"
Golden Force,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,M,,,,1037,2021/04/22,Just For Games,"Storybird, Storybird Studio",,0.0,0.0,"Action, Action Adventure, Platformer, Open-World, 2D"
Dungreed,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,ET,,,,756,2020/10/27,Nicalis,TEAM HORAY,E10+,0.0,0.0,"Action, Platformer, 2D"
The End is Nigh,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,M,,,,2519,2019/04/30,Nicalis,Nicalis,M,0.0,0.0,"Action, Platformer, 2D"
Red Dead Online,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,M,,,,1949,2019/11/05,Rockstar Games,Rockstar Games,M,0.0,3.5,"Action Adventure, Open-World"
Turrican Flashback,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ET,,,,2766,2021/01/19,ININ Games,Factor 5,E10+,70.0,5.2,"Miscellaneous, Compilation"
Sniper Ghost Warrior Contracts 2,1,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,M,,,,2219,2021/08/24,CI Games,CI Games,M,81.0,6.8,"Action, Shooter, First-Person, Tactical"
Surviving the Aftermath,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,T,,,,2385,2021/11/16,"Paradox Interactive,Deep Silver,Deep Silver","Paradox Interactive, Iceflake Studios,Paradox Interactive,Paradox Interactive, Iceflake Studios Oyw",T,69.0,5.3,"Strategy, Action Adventure, Management, Survival, GovernmentStrategy, Action Adventure, Management, Survival, GovernmentStrategy, Action Adventure, Management, Survival, Government"
Asdivine Menace,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,T,,,,246,2019/09/03,Kemco,Kemco,T,0.0,0.0,"Role-Playing, Japanese-Style"
West of Dead,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,T,,,,2905,2020/08/05,Raw Fury,Upstream Arcade,T,63.0,5.9,"Action, Action Adventure, General, Shooter, ""Shoot-Em-Up"", Top-Down"
